x,v_sim
1,0
0.9688,-0.06738578889384167
0.9609,-0.08680970203698823
0.9530999999999999,-0.1059853622490384
0.9453,-0.124420651871356
0.9063,-0.2059890078365245
0.8594000000000001,-0.2581112058949805
0.8047,-0.248447575173802
0.5,0.0640084847462622
0.2344,0.1605402347240006
0.2266,0.1599810633740107
0.1563,0.1495698166381497
0.09379999999999999,0.1232563139172038
0.0781,0.113320327091033
0.0703,0.1055494324534154
0.0625,0.09777853781579786
0,0
