x,v
0.015625,0.03454027202412631
0.046875,0.08221184182698063
0.078125,0.1133452338046151
0.109375,0.133104165448532
0.140625,0.1456003977051954
0.171875,0.1535139123243228
0.203125,0.1582923589131525
0.234375,0.1605403680463504
0.265625,0.1603737151091245
0.296875,0.1576650030168582
0.328125,0.1521899072999209
0.359375,0.1437082897092453
0.390625,0.1320107292878037
0.421875,0.1169489997345482
0.453125,0.0984585275129464
0.484375,0.07657463751642651
0.515625,0.05144233197609786
0.546875,0.02332061582631938
0.578125,-0.007414324950235216
0.609375,-0.04031045661513055
0.640625,-0.07506497932509176
0.671875,-0.1112213716832769
0.703125,-0.1480438090724721
0.734375,-0.1842366141068768
0.765625,-0.2175754610649007
0.796875,-0.2445432674592961
0.828125,-0.2601355506641919
0.859375,-0.2581318228351734
0.890625,-0.2323606475940462
0.921875,-0.1797856082050477
0.953125,-0.1059262747823001
0.984375,-0.02909117532365091
