y,u_sim
1,1
0.9766,0.7274137196954634
0.9688,0.6520017505505499
0.9609,0.5756229612883939
0.9530999999999999,0.5003138451251198
0.8516,0.1742003262924799
0.7344000000000001,0.06083375011647624
0.6172,-0.05835542280257026
0.5,-0.1610710283420244
0.4531,-0.1847183996552954
0.2813,-0.1593918812120773
0.1719,-0.09940351623354858
0.1016,-0.06104905512685158
0.0703,-0.04387129226602349
0.0625,-0.03944795352226207
0.0547,-0.03502461477850066
0,0
