y,u
0.015625,-0.01115371664512647
0.046875,-0.03058709866697077
0.078125,-0.04830880837755338
0.109375,-0.06526866826746046
0.140625,-0.08216578637975216
0.171875,-0.09938944659872923
0.203125,-0.1169764901229237
0.234375,-0.1346032434950017
0.265625,-0.151619234346386
0.296875,-0.1671149418138726
0.328125,-0.1800129322011764
0.359375,-0.1891686310446399
0.390625,-0.193513265293635
0.421875,-0.1922024470182441
0.453125,-0.1847124076237798
0.484375,-0.17092531777403
0.515625,-0.1512167389100187
0.546875,-0.1264327253448043
0.578125,-0.09774809389989422
0.609375,-0.0664959334168802
0.640625,-0.03398590700190428
0.671875,-0.001364423571942362
0.703125,0.03037499918584306
0.734375,0.06081044880503177
0.765625,0.08993708811055132
0.796875,0.1183289228953596
0.828125,0.1477811525919518
0.859375,0.1829504466554876
0.890625,0.2348589214861979
0.921875,0.3268876375838327
0.953125,0.5004526971727913
0.984375,0.802583983811066
