y,u
0.015625,-0.01115383602724861
0.046875,-0.03058744065143765
0.078125,-0.04830935243720024
0.109375,-0.06526939094164805
0.140625,-0.08216666134302097
0.171875,-0.09939044290142299
0.203125,-0.1169775698425473
0.234375,-0.1346043604791068
0.265625,-0.1516203348655982
0.296875,-0.1671159673385716
0.328125,-0.1800138240764655
0.359375,-0.1891693365093912
0.390625,-0.1935137405228418
0.421875,-0.1922026651239884
0.453125,-0.1847123631509353
0.484375,-0.1709250286086548
0.515625,-0.1512162402417516
0.546875,-0.126432068952343
0.578125,-0.09774734029061816
0.609375,-0.0664951413931813
0.640625,-0.03398512364345556
0.671875,-0.001363679706478493
0.703125,0.03037568711574462
0.734375,0.0608110879288592
0.765625,0.08993769673050561
0.796875,0.1183295237269417
0.828125,0.1477817655991213
0.859375,0.1829510798370169
0.890625,0.2348595580384555
0.921875,0.326888221820453
0.953125,0.5004531322142836
0.984375,0.8025841580679963
