x,v
0.0078125,0.02348615413747701
0.0234375,0.06265384113028108
0.0390625,0.09473266830150634
0.0546875,0.1206151826030454
0.0703125,0.1412830151140974
0.0859375,0.1577150481162765
0.1015625,0.1708091076530748
0.1171875,0.1813287889899507
0.1328125,0.1898783524631742
0.1484375,0.1969018904513153
0.1640625,0.2026995175711214
0.1796875,0.207452779185324
0.1953125,0.211252760350925
0.2109375,0.2141264477957338
0.2265625,0.216058967201662
0.2421875,0.2170109491469739
0.2578125,0.2169313263033178
0.2734375,0.2157663823565897
0.2890625,0.2134660017851948
0.3046875,0.2099879665423119
0.3203125,0.2053009405322224
0.3359375,0.1993865626432011
0.3515625,0.1922408814218795
0.3671875,0.1838752274660792
0.3828125,0.1743165337439042
0.3984375,0.1636070715595924
0.4140625,0.1518035604600896
0.4296875,0.1389756241056325
0.4453125,0.125203592806487
0.4609375,0.1105756908595678
0.4765625,0.09518468870512153
0.4921875,0.07912414370978185
0.5078125,0.06248439820149931
0.5234375,0.04534854974733017
0.5390625,0.02778865731548014
0.5546875,0.009862494971755734
0.5703125,-0.008388806131402752
0.5859375,-0.02694323266559188
0.6015625,-0.04581126290202256
0.6171875,-0.06503102212370754
0.6328125,-0.08466037488648492
0.6484375,-0.1047685228588353
0.6640625,-0.1254251608497798
0.6796875,-0.1466859004040825
0.6953125,-0.1685730835169998
0.7109375,-0.1910515310488374
0.7265625,-0.2139993463919635
0.7421875,-0.2371747015250779
0.7578125,-0.2601806061052135
0.7734375,-0.2824310195870721
0.7890625,-0.3031233237461737
0.8046875,-0.3212241290160268
0.8203125,-0.335477584859409
0.8359375,-0.3444475747358567
0.8515625,-0.3466067871550575
0.8671875,-0.3404853191243478
0.8828125,-0.324886651774442
0.8984375,-0.2991654767524752
0.9140625,-0.2635349778684216
0.9296875,-0.2193286636418009
0.9453125,-0.1690945463960691
0.9609375,-0.1163858671656176
0.9765625,-0.06519379566236205
0.9921875,-0.01915649431959723
