y,u
0.0078125,-0.00826129359491877
0.0234375,-0.02357980051297179
0.0390625,-0.03796178681494446
0.0546875,-0.05164701287320046
0.0703125,-0.06485180349724709
0.0859375,-0.0777680594555884
0.1015625,-0.09055833235206343
0.1171875,-0.1033490216089283
0.1328125,-0.1162234118321041
0.1484375,-0.1292159827335052
0.1640625,-0.1423090077378684
0.1796875,-0.1554319611860573
0.1953125,-0.1684638263945233
0.2109375,-0.1812383308715997
0.2265625,-0.1935514037516607
0.2421875,-0.2051704153757035
0.2578125,-0.2158444624410721
0.2734375,-0.2253151385487866
0.2890625,-0.2333303165844426
0.3046875,-0.2396565683076557
0.3203125,-0.2440890036406469
0.3359375,-0.2464610384346926
0.3515625,-0.2466532404812671
0.3671875,-0.2446050721005444
0.3828125,-0.2403145337504202
0.3984375,-0.2338377695372065
0.4140625,-0.2252860924024727
0.4296875,-0.2148207227965595
0.4453125,-0.202644775483629
0.4609375,-0.1889892758234721
0.4765625,-0.1740993651101552
0.4921875,-0.158220977906955
0.5078125,-0.1415886637550236
0.5234375,-0.124415458181435
0.5390625,-0.1068853151537043
0.5546875,-0.08914911572547204
0.5703125,-0.07132441476487539
0.5859375,-0.05349853302330861
0.6015625,-0.03573440104094619
0.6171875,-0.01807864518826306
0.6328125,-0.0005717094743127194
0.6484375,0.01673966717678632
0.6640625,0.03383015285135865
0.6796875,0.05067807598526972
0.6953125,0.06726158981683517
0.7109375,0.08355750678848238
0.7265625,0.09954187602491901
0.7421875,0.1151924618892215
0.7578125,0.1304937844541627
0.7734375,0.1454462597684783
0.7890625,0.1600824038409359
0.8046875,0.174495258723243
0.8203125,0.188887320319413
0.8359375,0.2036521277434645
0.8515625,0.2195042963132596
0.8671875,0.2376743950515764
0.8828125,0.2601769662447373
0.8984375,0.290132982267447
0.9140625,0.3320661953971887
0.9296875,0.3919749924321976
0.9453125,0.4767905888168789
0.9609375,0.5925988271422078
0.9765625,0.7409388849395833
0.9921875,0.9132794495814061
