x,v
0.00390625,0.004495013743681784
0.01171875,0.01272008997237516
0.01953125,0.02022338168094072
0.02734375,0.02704828210140604
0.03515625,0.03323798703973356
0.04296875,0.03883513904506221
0.05078125,0.0438815172849988
0.05859375,0.04841777391915762
0.06640625,0.05248321501787245
0.07421875,0.05611562373207622
0.08203125,0.05935112283695577
0.08984375,0.06222407332436607
0.09765625,0.0647670054211683
0.10546875,0.06701057827341927
0.11328125,0.06898356454567559
0.12109375,0.07071285631484472
0.12890625,0.07222348885823968
0.13671875,0.07353867921486817
0.14453125,0.07467987670961967
0.15234375,0.07566682294876045
0.16015625,0.07651761910436355
0.16796875,0.07724879859280986
0.17578125,0.07787540351109125
0.18359375,0.07841106342127334
0.19140625,0.07886807526830238
0.19921875,0.07925748338178723
0.20703125,0.07958915865223579
0.21484375,0.07987187609085837
0.22265625,0.08011339008382649
0.23046875,0.08032050674069671
0.23828125,0.08049915281572374
0.24609375,0.08065444075225033
0.25390625,0.0807907294656123
0.26171875,0.08091168053953156
0.26953125,0.08102030956457315
0.27734375,0.0811190323941918
0.28515625,0.08120970613314858
0.29296875,0.08129366470353462
0.30078125,0.08137174885432678
0.30859375,0.08144433049073818
0.31640625,0.08151133119960752
0.32421875,0.08157223483749812
0.33203125,0.08162609403082888
0.33984375,0.0816715304151823
0.34765625,0.0817067284181863
0.35546875,0.08172942237271358
0.36328125,0.08173687674172922
0.37109375,0.08172585925150186
0.37890625,0.08169260677591447
0.38671875,0.081632783902056
0.39453125,0.08154143424738616
0.40234375,0.08141292480249321
0.41015625,0.08124088385047433
0.41796875,0.08101813337138974
0.42578125,0.08073661728117301
0.43359375,0.08038732737624064
0.44140625,0.07996022944787004
0.44921875,0.07944419267531597
0.45703125,0.07882692607461661
0.46484375,0.07809492643152445
0.47265625,0.07723344273231303
0.48046875,0.07622646256737925
0.48828125,0.07505672625653308
0.49609375,0.0737057744683013
0.50390625,0.07215403482094704
0.51171875,0.07038095231554441
0.51953125,0.06836516743675305
0.52734375,0.06608474436693314
0.53515625,0.06351745002734768
0.54296875,0.06064108265327438
0.55078125,0.05743384642663235
0.55859375,0.05387476645540686
0.56640625,0.04994413624643607
0.57421875,0.04562398791590385
0.58203125,0.04089857386250041
0.58984375,0.03575484761325538
0.59765625,0.03018293112552672
0.60546875,0.02417655601328427
0.61328125,0.01773346686758795
0.62109375,0.0108557756584258
0.62890625,0.003550256020558889
0.63671875,-0.004171505804837983
0.64453125,-0.01229555498448475
0.65234375,-0.02080442197396389
0.66015625,-0.02967349790125994
0.66796875,-0.03887149627580084
0.67578125,-0.04836089256871105
0.68359375,-0.05809828096231903
0.69140625,-0.06803466225647467
0.69921875,-0.07811567905900899
0.70703125,-0.08828181101980528
0.71484375,-0.09846854129586069
0.72265625,-0.1086065061743346
0.73046875,-0.1186216425317808
0.73828125,-0.1284353520714881
0.74609375,-0.1379647064989289
0.75390625,-0.1471227233946922
0.76171875,-0.1558187479355401
0.76953125,-0.1639589801804743
0.77734375,-0.1714471907189915
0.78515625,-0.1781856683716422
0.79296875,-0.1840764415868968
0.80078125,-0.1890228094352622
0.80859375,-0.1929312078949286
0.81640625,-0.1957134218045443
0.82421875,-0.1972891319042715
0.83203125,-0.1975887596679636
0.83984375,-0.1965565404297925
0.84765625,-0.194153718773739
0.85546875,-0.1903617212845743
0.86328125,-0.1851851239509443
0.87109375,-0.1786541993732775
0.87890625,-0.1708268085479995
0.88671875,-0.1617894001981883
0.89453125,-0.1516569043344305
0.90234375,-0.140571361276746
0.91015625,-0.1286992146902878
0.91796875,-0.1162273136242989
0.92578125,-0.1033578034070505
0.93359375,-0.09030222064747923
0.94140625,-0.07727522056938299
0.94921875,-0.06448843192166259
0.95703125,-0.05214493780899589
0.96484375,-0.04043481350803817
0.97265625,-0.02953202312422265
0.98046875,-0.01959280810564648
0.98828125,-0.01075552489673422
0.99609375,-0.003141723339645212
