y,u_sim
1,1
0.9766,0.7021104978538059
0.9688,0.6121970356867031
0.9609,0.5291253959386069
0.9530999999999999,0.455754974152269
0.8516,0.08123165584020157
0.7344000000000001,-0.009947981777735024
0.6172,-0.1077042645118888
0.5,-0.1384625322423878
0.4531,-0.127874785595909
0.2813,-0.07349621355431821
0.1719,-0.05199609200727473
0.1016,-0.0378679516276795
0.0703,-0.02944292337153148
0.0625,-0.02699825510054919
0.0547,-0.02438733394584543
0,0
