y,u
0.00390625,-0.002207521451087784
0.01171875,-0.00631901751648605
0.01953125,-0.01014817008031926
0.02734375,-0.01371520099138714
0.03515625,-0.01703938066634229
0.04296875,-0.0201390759123904
0.05078125,-0.02303179419501854
0.05859375,-0.02573422591516784
0.06640625,-0.02826228428593055
0.07421875,-0.03063114280439149
0.08203125,-0.03285527040256983
0.08984375,-0.03494846443721118
0.09765625,-0.03692388171389292
0.10546875,-0.03879406775546695
0.11328125,-0.04057098452448345
0.12109375,-0.04226603679883974
0.12890625,-0.04389009738269996
0.13671875,-0.0454535313125274
0.14453125,-0.04696621919163291
0.15234375,-0.04843757975588573
0.16015625,-0.04987659175037631
0.16796875,-0.05129181511328468
0.17578125,-0.05269141148448908
0.18359375,-0.05408316396896706
0.19140625,-0.05547449600248804
0.19921875,-0.05687248913732441
0.20703125,-0.05828389947860697
0.21484375,-0.05971517241348331
0.22265625,-0.06117245519204501
0.23046875,-0.06266160683225674
0.23828125,-0.06418820473579141
0.24609375,-0.06575754729037429
0.25390625,-0.0673746514252152
0.26171875,-0.06904424369902276
0.26953125,-0.07077074483145274
0.27734375,-0.0725582456550844
0.28515625,-0.07441047294425068
0.29296875,-0.07633074850214552
0.30078125,-0.07832193570390955
0.30859375,-0.08038637130220896
0.31640625,-0.08252578447850102
0.32421875,-0.08474120345546031
0.33203125,-0.0870328509020919
0.33984375,-0.08940002386820532
0.34765625,-0.09184096176956014
0.35546875,-0.09435270609058242
0.36328125,-0.09693095219108756
0.37109375,-0.0995698973953402
0.37890625,-0.1022620906793603
0.38671875,-0.1049982888289039
0.39453125,-0.1077673258006002
0.40234375,-0.1105560023562062
0.41015625,-0.1133490037640951
0.41796875,-0.1161288534428006
0.42578125,-0.1188759102694154
0.43359375,-0.1215684166460681
0.44140625,-0.12418260331772
0.44921875,-0.1266928553853269
0.45703125,-0.1290719419605727
0.46484375,-0.1312913095460231
0.47265625,-0.1333214366176997
0.48046875,-0.1351322441662797
0.48828125,-0.1366935542704476
0.49609375,-0.1379755862955245
0.50390625,-0.1389494781892511
0.51171875,-0.1395878187221631
0.51953125,-0.1398651755005784
0.52734375,-0.1397586032349613
0.53515625,-0.1392481171004842
0.54296875,-0.1383171170602904
0.55078125,-0.1369527506733797
0.55859375,-0.1351462040794976
0.56640625,-0.1328929134155055
0.57421875,-0.1301926917252826
0.58203125,-0.1270497693243414
0.58984375,-0.1234727484201764
0.59765625,-0.1194744754320358
0.60546875,-0.1150718367824112
0.61328125,-0.1102854858569031
0.62109375,-0.1051395102886929
0.62890625,-0.09966104968790351
0.63671875,-0.09387987440111045
0.64453125,-0.08782793587075591
0.65234375,-0.08153889870175787
0.66015625,-0.07504766367287263
0.66796875,-0.06838988968899976
0.67578125,-0.06160152107774761
0.68359375,-0.05471832468074124
0.69140625,-0.0477754388245402
0.69921875,-0.04080693335980431
0.70703125,-0.03384537631693391
0.71484375,-0.02692139798552837
0.72265625,-0.02006323684090795
0.73046875,-0.01329624312630517
0.73828125,-0.006642305629146777
0.74609375,-0.0001191632084722291
0.75390625,0.006260342402195982
0.76171875,0.0124872477363343
0.76953125,0.01855798427076567
0.77734375,0.02447564833215311
0.78515625,0.03025142875340977
0.79296875,0.03590642838909611
0.80078125,0.04147397643483143
0.80859375,0.04700253357686565
0.81640625,0.05255929093073854
0.82421875,0.05823455259422439
0.83203125,0.06414696577980847
0.83984375,0.07044961693208421
0.84765625,0.07733694220007691
0.85546875,0.08505230202599737
0.86328125,0.09389593969567572
0.87109375,0.1042328816264702
0.87890625,0.1165001440495191
0.88671875,0.1312123888636033
0.89453125,0.1489649224766148
0.90234375,0.170432653927522
0.91015625,0.1963633157897719
0.91796875,0.2275628925292565
0.92578125,0.2648707903374492
0.93359375,0.3091218421988695
0.94140625,0.3610918646941211
0.94921875,0.4214233926179625
0.95703125,0.4905288304889507
0.96484375,0.5684701985213748
0.97265625,0.6548186131448511
0.98046875,0.7485030123305771
0.98828125,0.8476657817174309
0.99609375,0.9495504387826166
